category,path,label,true_type,true_location,verdict,defect_type,location,explanation,valid,p_defective,latency_s,prompt_tokens,completion_tokens,raw,config
bottle,bottle/test/good/000.png,0,none,none,defective,contamination,top,,True,0.7310732887341242,4.808995364001021,338,33,"{
  ""verdict"": ""defective"",
  ""defect_type"": ""contamination"",
  ""location"": ""top""
}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/001.png,0,none,none,defective,broken_small,bottom,,True,0.7982043269492703,4.2959976309794,338,29,"```json
{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""bottom""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/002.png,0,none,none,defective,contamination,right,,True,0.5926822686752394,4.312084322969895,338,29,"```json
{""verdict"": ""defective"", ""defect_type"": ""contamination"", ""location"": ""right""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/003.png,0,none,none,good,none,none,,True,0.34867315947767064,4.013233777019195,338,27,"```json
{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/004.png,0,none,none,defective,contamination,top,,True,0.6224819164403148,3.486635379958898,338,24,"{""verdict"": ""defective"", ""defect_type"": ""contamination"", ""location"": ""top""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/005.png,0,none,none,defective,broken_small,top,,True,0.7549288460804426,3.4746909140376374,338,24,"{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""top""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/006.png,0,none,none,good,none,none,,True,0.1824328781157569,3.1210133749991655,338,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/007.png,0,none,none,good,none,none,,True,0.2689483847263494,3.1213079540175386,338,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/008.png,0,none,none,good,none,none,,True,0.015906336380461395,3.011091022985056,338,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/009.png,0,none,none,defective,contamination,top,,True,0.5926808406023771,3.296613805985544,338,24,"{""verdict"": ""defective"", ""defect_type"": ""contamination"", ""location"": ""top""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/010.png,0,none,none,defective,contamination,top,,True,0.7773112901310443,4.2298991630086675,338,33,"{
  ""verdict"": ""defective"",
  ""defect_type"": ""contamination"",
  ""location"": ""top""
}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/011.png,0,none,none,defective,contamination,top,,True,0.6791996335683249,3.669897586980369,338,29,"```json
{""verdict"": ""defective"", ""defect_type"": ""contamination"", ""location"": ""top""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/012.png,0,none,none,defective,contamination,top,,True,0.9149054870287823,4.16248625703156,338,33,"{
  ""verdict"": ""defective"",
  ""defect_type"": ""contamination"",
  ""location"": ""top""
}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/013.png,0,none,none,defective,contamination,top,,True,0.6224883307483614,3.498606798995752,338,29,"```json
{""verdict"": ""defective"", ""defect_type"": ""contamination"", ""location"": ""top""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/014.png,0,none,none,defective,contamination,center,,True,0.7310774740045783,4.158737153979018,338,33,"{
  ""verdict"": ""defective"",
  ""defect_type"": ""contamination"",
  ""location"": ""center""
}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/015.png,0,none,none,good,none,none,,True,0.006692830465962753,2.4391844240017235,338,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/016.png,0,none,none,defective,contamination,top,,True,0.5926928902376571,3.5833617780008353,338,29,"```json
{""verdict"": ""defective"", ""defect_type"": ""contamination"", ""location"": ""top""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/017.png,0,none,none,good,none,none,,True,0.26898142347611576,3.3867768369964324,338,28,"{
""verdict"": ""good"",
""defect_type"": ""none"",
""location"": ""none""
}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/018.png,0,none,none,defective,contamination,top,,True,0.5312379889885207,3.1214807989890687,338,24,"{""verdict"": ""defective"", ""defect_type"": ""contamination"", ""location"": ""top""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/good/019.png,0,none,none,good,none,none,,True,0.3775662687026764,3.518356804968789,338,27,"```json
{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_large/000.png,1,broken_large,bottom-right,defective,broken_small,right,,True,0.9996200160906705,3.613102192990482,338,29,"```json
{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""right""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_large/002.png,1,broken_large,center,defective,broken_small,top,,True,0.9046569995838397,3.614764598023612,338,29,"```json
{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""top""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_large/004.png,1,broken_large,left,defective,broken_small,top-left,,True,0.9988304939384391,3.834139098005835,338,30,"```json
{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""top-left""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_large/006.png,1,broken_large,top,defective,broken_small,top-right,,True,0.9988304954433374,2.953693557996303,338,25,"{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""top-right""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_large/008.png,1,broken_large,bottom,defective,broken_small,bottom-left,,True,0.9940891986573224,3.924976327980403,338,30,"```json
{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""bottom-left""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_large/011.png,1,broken_large,bottom,good,none,none,,True,0.2689769926140395,2.9990064349840395,338,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_large/012.png,1,broken_large,right,defective,contamination,top,,True,0.8933137271619394,3.083733220002614,338,24,"{""verdict"": ""defective"", ""defect_type"": ""contamination"", ""location"": ""top""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_large/014.png,1,broken_large,left,defective,broken_small,bottom-left,,True,0.9991959193576101,3.7133289159974083,338,30,"```json
{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""bottom-left""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_large/016.png,1,broken_large,center,defective,broken_small,bottom,,True,0.9940889846350038,3.060101938957814,338,24,"{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""bottom""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_large/018.png,1,broken_large,center,defective,broken_small,top,,True,0.9465978937175359,3.049573570024222,338,24,"{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""top""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_small/000.png,1,broken_small,left,defective,contamination,bottom-left,,True,0.924143751381647,3.2477493780315854,338,25,"{""verdict"": ""defective"", ""defect_type"": ""contamination"", ""location"": ""bottom-left""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_small/001.png,1,broken_small,left,defective,broken_small,top-left,,True,0.9975274450728308,4.640485385956708,338,39,"```json
{
  ""verdict"": ""defective"",
  ""defect_type"": ""broken_small"",
  ""location"": ""top-left""
}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_small/003.png,1,broken_small,bottom,defective,broken_small,bottom-left,,True,0.9859365229226408,3.158782896993216,338,25,"{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""bottom-left""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_small/004.png,1,broken_small,bottom-left,defective,broken_small,bottom-left,,True,0.9968273506894763,3.1633528730017133,338,25,"{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""bottom-left""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_small/007.png,1,broken_small,right,defective,broken_small,right,,True,0.9975274093442079,4.654869919002522,338,38,"```json
{
  ""verdict"": ""defective"",
  ""defect_type"": ""broken_small"",
  ""location"": ""right""
}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_small/008.png,1,broken_small,bottom,defective,broken_small,bottom,,True,0.9940890739327536,3.058145663992036,338,24,"{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""bottom""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_small/010.png,1,broken_small,right,defective,broken_small,top-right,,True,0.9998766057092066,4.409430316009093,338,34,"{
  ""verdict"": ""defective"",
  ""defect_type"": ""broken_small"",
  ""location"": ""top-right""
}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_small/013.png,1,broken_small,top-right,defective,broken_small,top,,True,0.9947800360230669,3.0605507980217226,338,24,"{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""top""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_small/014.png,1,broken_small,left,defective,broken_small,left,,True,0.9953904804709057,3.6193894339958206,338,29,"```json
{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""left""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_small/017.png,1,broken_small,left,defective,broken_small,left,,True,0.9989677795097773,3.627649233036209,338,29,"```json
{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""left""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/broken_small/020.png,1,broken_small,bottom-right,defective,broken_small,bottom-right,,True,0.9964064338726835,3.163697508047335,338,25,"{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""bottom-right""}","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/contamination/000.png,1,contamination,center,defective,contamination,center,,True,0.9978172934878702,3.7320534440223128,338,29,"```json
{""verdict"": ""defective"", ""defect_type"": ""contamination"", ""location"": ""center""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/contamination/001.png,1,contamination,center,defective,contamination,bottom,,True,0.8354938310474497,3.6342732529737987,338,29,"```json
{""verdict"": ""defective"", ""defect_type"": ""contamination"", ""location"": ""bottom""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/contamination/002.png,1,contamination,center,defective,contamination,top,,True,0.8933165345605204,3.634513113007415,338,29,"```json
{""verdict"": ""defective"", ""defect_type"": ""contamination"", ""location"": ""top""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/contamination/006.png,1,contamination,center,defective,contamination,center,,True,0.7549306732738739,3.636384447978344,338,29,"```json
{""verdict"": ""defective"", ""defect_type"": ""contamination"", ""location"": ""center""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
bottle,bottle/test/contamination/008.png,1,contamination,center,defective,contamination,right,,True,0.7982075715504413,3.6307705710059963,338,29,"```json
{""verdict"": ""defective"", ""defect_type"": ""contamination"", ""location"": ""right""}
```","Baseline: Qwen3.8-27B zero-shot, single image"
